codigo,latitude,longitude,altitude,nome,estado,municipio,responsavel,ultima_att,tipo
2150017,-21.3333,-50.5167,410,ÁGUA LIMPA,SÃO PAULO,ARAÇATUBA,DAEE-SP,2005-04-27 00:00:00,2
2150018,-21.25,-50.7167,390,FAZENDA SÃO JOSÉ,SÃO PAULO,GUARARAPES,DAEE-SP,2005-04-27 00:00:00,2
2150019,-21.35,-50.2833,410,COROADOS,SÃO PAULO,COROADOS,DAEE-SP,2005-04-27 00:00:00,2
2150020,-21.35,-50.2833,400,COROADOS,SÃO PAULO,COROADOS,DAEE-SP,2005-07-11 00:00:00,2
2150021,-21.35,-50.6833,410,FAZENDA RIO PRETO,SÃO PAULO,GUARARAPES,DAEE-SP,2005-04-27 00:00:00,2
2150022,-21.4333,-50.0667,430,PENÁPOLIS,SÃO PAULO,PENÁPOLIS,DAEE-SP,2005-04-27 00:00:00,2
2150023,-21.4833,-50.1167,440,FAZENDA FIGUEIRA,SÃO PAULO,PENÁPOLIS,DAEE-SP,2005-07-11 00:00:00,2
2150024,-21.5667,-50.3333,480,FAZENDA N.S. APARECIDA,SÃO PAULO,BRAUNA,DAEE-SP,2005-04-27 00:00:00,2
2150025,-21.6,-50.6,420,PIACATU,SÃO PAULO,PIACATU,DAEE-SP,2005-04-27 00:00:00,2
2150026,-21.5833,-50.1667,510,ALTO ALEGRE,SÃO PAULO,ALTO ALEGRE,DAEE-SP,2005-04-27 00:00:00,2
2150027,-21.6333,-50.5,420,SANTÓPOLIS DO AGUAPEÍ,SÃO PAULO,SANTÓPOLIS DO AGUAP,DAEE-SP,2005-04-27 00:00:00,2
2150028,-21.6167,-50.9167,370,FAZENDA COROADOS,SÃO PAULO,SANTÓPOLIS DO AGUAP,DAEE-SP,2009-01-27 00:00:00,2
2150029,-21.7,-50.3,420,FAZENDA BOM RETIRO,SÃO PAULO,GETULINA,DAEE-SP,2005-04-27 00:00:00,2
2150030,-21.75,-50.1167,430,MACUCOS,SÃO PAULO,GETULINA,DAEE-SP,2005-04-27 00:00:00,2
2150031,-21.7833,-50.7833,490,PARAPUÃ,SÃO PAULO,PARAPUÃ,DAEE-SP,2005-04-27 00:00:00,2
2150032,-21.8,-50.8667,460,OSVALDO CRUZ,SÃO PAULO,OSVALDO CRUZ,DAEE-SP,2005-04-27 00:00:00,2
2150033,-21.7667,-50.9167,440,SÍTIO KAWATA,SÃO PAULO,OSVALDO CRUZ,DAEE-SP,2005-07-13 00:00:00,2
2150034,-21.8,-50.2333,430,QUEIROZ,SÃO PAULO,QUEIROZ,DAEE-SP,2005-04-27 00:00:00,2
2150035,-21.8,-50.6167,440,EXTREMADURA,SÃO PAULO,IACRI,DAEE-SP,2005-04-27 00:00:00,2
2150036,-21.8333,-50.2167,390,FAZENDA SOBRADINHO,SÃO PAULO,QUEIROZ,DAEE-SP,2005-04-27 00:00:00,2
2150037,-21.8667,-50.7,510,IACRI,SÃO PAULO,IACRI,DAEE-SP,2005-04-27 00:00:00,2
2150038,-21.9167,-50.7333,440,BASTOS,SÃO PAULO,BASTOS,DAEE-SP,2005-04-27 00:00:00,2
2150039,-21.9333,-50.5333,510,TUPÃ,SÃO PAULO,TUPÃ,DAEE-SP,2005-05-18 00:00:00,2
2150040,-21.95,-50.9333,320,USINA QUATIARA,SÃO PAULO,RANCHARIA,DAEE-SP,2005-04-27 00:00:00,2
2150041,-21.9667,-50.45,480,BAIRRO SABIÁ,SÃO PAULO,TUPÃ,DAEE-SP,2005-04-27 00:00:00,2
2150042,-21.9833,-50.1,460,NOVO CRAVINHOS,SÃO PAULO,POMPÉIA,DAEE-SP,2005-04-27 00:00:00,2
2150043,-21.4525,-50.9194,290,SALTO CARLOS BOTELHO,SÃO PAULO,LUCÉLIA,ANA,2009-12-04 00:00:00,2
2150044,-21.2,-50.4333,398,ARAÇATUBA,SÃO PAULO,ARAÇATUBA,INMET,2006-05-05 00:00:00,2
2150045,-21.4592,-50.9211,290,UHE PORTO PRIMAVERA SALTO CARLOS BOTELHO,SÃO PAULO,LUCÉLIA,CESP,2015-03-11 00:00:00,2
2150049,-21.2,-50.4333,390,ARAÇATUBA (ACCO),SÃO PAULO,ARAÇATUBA,DAEE-SP,2006-02-01 00:00:00,2
2150050,-21.2,-50.95,440,AGUAPEÍ (ACCO),SÃO PAULO,VALPARAÍSO,DAEE-SP,2005-07-13 00:00:00,2
2150051,-21.9167,-50.7333,440,BASTOS (ACCO),SÃO PAULO,BASTOS,DAEE-SP,2005-07-13 00:00:00,2
2150053,-21.4167,-50.0667,400,PENÁPOLIS,SÃO PAULO,PENÁPOLIS,DAEE-SP,2005-07-11 00:00:00,2
2150054,-21.5333,-50.3333,480,FAZENDA SANTA EMÍLIA,SÃO PAULO,BRAUNA,DAEE-SP,2005-07-11 00:00:00,2
2150055,-21.2667,-50.65,360,MAC FADDEN - USINA DE ALGODÃO,SÃO PAULO,GUARARAPES,DAEE-SP,2005-07-11 00:00:00,2
2150056,-21.35,-50.2833,,FAZENDA ÁGUAS CLARAS,SÃO PAULO,COROADOS,DAEE-SP,2005-07-11 00:00:00,2
